demarcation.code,opinion.code,Debt to Community Wealth/Equity,Capital Expenditure % Total Expenditure,"Impairment of PPE, IP and IA %",Repairs and Maintenance % PPE +IP,Debt to Total Operating Revenue,Current Ratio,Capital Cost % Total Operating Expenditure,Net Operating Surplus Margin %,Remuneration % Total Operating Expenditure,Contracted Services % Total Operating Expenditure,Own Source Revenue to Total Operating Revenue,Net Surplus / Deficit Water %,Net Surplus / Deficit Elec %
BUF,qualified,20.725821917383684,17.824441037925702,6.735307886961856,2.5328033758937862,0.5042272551239554,2.0339380913548366,0.0,11.057165663805254,25.959654561925763,0.19644797086069665,97.77114455025742,48.335407110256654,28.939975675754557
CPT,unqualified,86.73142341175735,20.59527962638102,5.660603188039883,9.825357336407462,0.5311574386878578,1.6148837240633809,5.136967954586877,9.377392246673828,22.743340448492212,8.503908237680188,99.7187227631197,85.71784740201227,31.120913644535666
DC1,unqualified,69.78492612808286,22.19491103436155,3.5557708716418337,7.377641283893527,0.8475557462558321,4.220635572459233,4.299671839045812,2.280562780107954,46.03903412680639,0.0,100.0,90.13084407523131,0.0
DC10,unqualified_emphasis_of_matter,37.880710979574864,3.207167137547805,1.7859858932237975,0.7526277466387822,0.8371472223508073,7.712886896884836,0.0,-4.899630673357115,35.661008415978195,2.37502485041289,82.9144232101797,0.0,0.0
DC12,unqualified_emphasis_of_matter,10.683291640449287,32.84600690878206,3.08763831779272,0.3390971854229665,0.2561334899462097,3.2030755167424303,0.9821407446899088,28.17318879537261,34.11356704624893,2.6037521059878777,97.87689731113686,12.965235833175145,0.0
DC13,qualified,9.262020980428526,28.110524242286736,3.212455899028173,3.192191275962509,0.28979790362594593,2.2477192489224094,0.0,19.691610029363066,16.15692213931834,0.1272615116916775,47.40713826073906,-2171.8743317905605,0.0
DC14,unqualified_emphasis_of_matter,8.871381065070377,18.9162961006565,3.458943349282185,0.0,0.2370607496273616,1.2444259450168935,0.665701332043349,10.547392751465749,27.157745088541926,0.0,97.6517030783416,99.9999965534327,0.0
DC15,disclaimer,18.71894868567786,25.723010106554266,8.173498772045177,0.0,0.29026968579943513,1.123713319047938,0.07983493193907505,22.07355598879205,21.753092356731752,0.7545868269380375,99.55708446203137,-1.8194686378498195,0.0
DC16,qualified,50.398205269249964,23.18141156101596,17.521433527082024,6.3303513956692194,0.20775971973975546,0.3820102554356807,0.4052233034468732,-79.6242148174381,47.32062282509067,0.0,100.0,0.0,0.0
DC18,unqualified_emphasis_of_matter,35.18714626199888,3.0537841636452265,10.104030162182976,0.5944679136643182,0.2973484479478874,4.0453753923580615,2.8259068633635818,3.0179193433219598,57.67361774745929,0.0,95.7057135327046,0.0,0.0
DC19,unqualified_emphasis_of_matter,179.5345376640838,0.8190839515642138,61.16226729166518,43.87787727040385,0.35301317973312485,1.5942448626123258,0.22392646174982264,-29.393068040274105,31.86193996616744,0.0,71.04763450269694,0.0,0.0
